playoffs,side,teamname,team_wr,champ_top,champ_jng,champ_mid,champ_bot,champ_sup,wr_champ_top,wr_champ_jng,wr_champ_mid,wr_champ_bot,wr_champ_sup,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,wr_top,wr_jng,wr_mid,wr_bot,wr_sup,comp_early_power,result
0,Red,Team Vitality,0.5,Gragas,Pantheon,Syndra,Kai'Sa,Leona,0.5,0.5,0.5,0.6236,0.5,0.0,1579.0,-592.0,-33.0,5.0,9.0,2.0,0.5,0.5,0.5,0.5,0.5,-136.9447,0
0,Blue,Rogue,0.5,Kennen,Lillia,Lucian,Kai'Sa,Blitzcrank,0.5,0.5,0.5,0.5568,0.5,0.0,736.0,497.0,8.0,2.0,3.0,4.0,0.5,0.5,0.5,0.5,0.5,45.8371,1
0,Red,Astralis,0.5,Gnar,Skarner,Syndra,Caitlyn,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,-736.0,-497.0,-8.0,4.0,8.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Fnatic,0.5,Volibear,Taliyah,Azir,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,2568.0,3778.0,44.0,9.0,8.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,G2 Esports,0.5,Camille,Lillia,Zoe,Kai'Sa,Alistar,0.5,0.5,0.5,0.6037,0.5,0.0,-2568.0,-3778.0,-44.0,4.0,3.0,9.0,0.5,0.5,0.5,0.5,0.5,128.4002,0
0,Blue,Astralis,0.5,Gnar,Skarner,Corki,Xayah,Rell,0.5,0.5,0.5,0.5,0.5,0.0,-214.0,-440.0,-55.0,2.0,4.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,FC Schalke 04 Esports,0.5,Irelia,Gragas,Azir,Kai'Sa,Alistar,0.5,0.5,0.5,0.5405,0.5,1.0,214.0,440.0,55.0,1.0,3.0,2.0,0.5,0.5,0.5,0.5,0.5,28.4563,0
0,Blue,Excel Esports,0.5,Cho'Gath,Graves,Azir,Jhin,Gragas,0.5,0.5,0.5,0.5,0.5,0.0,-555.0,1069.0,-13.0,2.0,3.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Team Vitality,0.5,Gangplank,Lillia,Orianna,Miss Fortune,Alistar,0.5,0.5,0.5,0.5,0.5,1.0,555.0,-1069.0,13.0,2.0,3.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,G2 Esports,0.5,Renekton,Olaf,Ryze,Senna,Tahm Kench,0.5,0.5,0.5,0.5,0.5,0.0,2644.0,-147.0,10.0,6.0,8.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Misfits Gaming,0.5,Sion,Graves,Syndra,Jhin,Rakan,0.5,0.5,0.5,0.5,0.5,1.0,-2644.0,147.0,-10.0,5.0,10.0,6.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Rogue,0.5,Renekton,Jarvan IV,Azir,Kai'Sa,Alistar,0.5,0.5,0.5,0.4844,0.5,1.0,4607.0,3600.0,37.0,6.0,10.0,0.0,0.5,0.5,0.5,0.5,0.5,31.0024,1
0,Red,KOI,0.5,Gragas,Kindred,Syndra,Xayah,Leona,0.5,0.5,0.5,0.5,0.5,0.0,-4607.0,-3600.0,-37.0,0.0,0.0,6.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,SK Gaming,0.5,Vladimir,Graves,Azir,Kai'Sa,Alistar,0.5,0.5,0.5,0.5375,0.5,0.0,-4416.0,-3913.0,-56.0,4.0,10.0,8.0,0.5,0.5,0.5,0.5,0.5,173.7738,0
0,Red,Fnatic,0.5,Riven,Lillia,Seraphine,Samira,Rell,0.5,0.5,0.5,0.5,0.5,1.0,4416.0,3913.0,56.0,8.0,14.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Team Vitality,0.5,Gragas,Olaf,Azir,Kai'Sa,Seraphine,0.5,0.5,0.5,0.4826,0.5,1.0,-33.0,314.0,-19.0,1.0,2.0,0.0,0.5,0.5,0.5,0.5,0.5,46.6012,0
0,Red,SK Gaming,0.5,Renekton,Lillia,Ryze,Vayne,Rakan,0.5,0.5,0.5,0.5,0.5,0.0,33.0,-314.0,19.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Misfits Gaming,0.5,Jayce,Udyr,Orianna,Xayah,Leona,0.5,0.5,0.5,0.5,0.5,1.0,7301.0,2963.0,61.0,7.0,14.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Astralis,0.5,Ornn,Jarvan IV,Corki,Kai'Sa,Rell,0.5,0.5,0.5,0.4337,0.5,0.0,-7301.0,-2963.0,-61.0,1.0,2.0,7.0,0.5,0.5,0.5,0.5,0.5,135.8641,0
