gameid,playoffs,side,teamname,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,result
LOLTMNT05_177016,1,Blue,GiantX,1.0,-24.0,400.0,-14.0,1.0,3.0,1.0,1
LOLTMNT05_177016,1,Red,Team Heretics,0.0,24.0,-400.0,14.0,1.0,3.0,1.0,0
LOLTMNT05_178010,1,Blue,GiantX,0.0,-64.0,-301.0,-9.0,2.0,7.0,2.0,0
LOLTMNT05_178010,1,Red,Team Heretics,1.0,64.0,301.0,9.0,2.0,4.0,2.0,1
LOLTMNT05_177019,1,Blue,GiantX,0.0,2711.0,1357.0,26.0,2.0,5.0,0.0,1
LOLTMNT05_177019,1,Red,Team Heretics,1.0,-2711.0,-1357.0,-26.0,0.0,0.0,2.0,0
LOLTMNT05_177030,1,Blue,Team Vitality,0.0,2775.0,2404.0,84.0,4.0,7.0,5.0,1
LOLTMNT05_177030,1,Red,Fnatic,1.0,-2775.0,-2404.0,-84.0,5.0,12.0,4.0,0
LOLTMNT05_178014,1,Blue,Team Vitality,0.0,1815.0,1465.0,34.0,5.0,6.0,5.0,1
LOLTMNT05_178014,1,Red,Fnatic,1.0,-1815.0,-1465.0,-34.0,5.0,10.0,5.0,0
LOLTMNT05_177049,1,Blue,Natus Vincere,1.0,2924.0,2726.0,50.0,3.0,5.0,1.0,1
LOLTMNT05_177049,1,Red,GiantX,0.0,-2924.0,-2726.0,-50.0,1.0,3.0,3.0,0
LOLTMNT05_178021,1,Blue,Natus Vincere,0.0,1492.0,2164.0,33.0,6.0,9.0,5.0,0
LOLTMNT05_178021,1,Red,GiantX,1.0,-1492.0,-2164.0,-33.0,5.0,8.0,7.0,1
LOLTMNT05_178023,1,Blue,GiantX,1.0,2159.0,2634.0,28.0,4.0,5.0,1.0,1
LOLTMNT05_178023,1,Red,Natus Vincere,0.0,-2159.0,-2634.0,-28.0,1.0,3.0,4.0,0
LOLTMNT05_177060,1,Blue,Team Vitality,0.0,-1063.0,-1702.0,-8.0,2.0,2.0,3.0,1
LOLTMNT05_177060,1,Red,Karmine Corp,1.0,1063.0,1702.0,8.0,3.0,4.0,2.0,0
LOLTMNT05_178032,1,Blue,Team Vitality,0.0,839.0,1041.0,-26.0,6.0,9.0,5.0,0
LOLTMNT05_178032,1,Red,Karmine Corp,1.0,-839.0,-1041.0,26.0,5.0,6.0,6.0,1
LOLTMNT05_177061,1,Blue,Team Vitality,0.0,-7117.0,-6622.0,-68.0,2.0,2.0,11.0,0
LOLTMNT05_177061,1,Red,Karmine Corp,1.0,7117.0,6622.0,68.0,11.0,19.0,2.0,1
LOLTMNT05_178056,1,Blue,G2 Esports,0.0,-76.0,39.0,4.0,1.0,1.0,2.0,1
LOLTMNT05_178056,1,Red,Movistar KOI,1.0,76.0,-39.0,-4.0,2.0,2.0,1.0,0
LOLTMNT05_178057,1,Blue,G2 Esports,1.0,2880.0,3426.0,13.0,10.0,20.0,5.0,1
LOLTMNT05_178057,1,Red,Movistar KOI,0.0,-2880.0,-3426.0,-13.0,5.0,10.0,10.0,0
LOLTMNT05_177077,1,Blue,G2 Esports,0.0,-2254.0,-238.0,2.0,4.0,5.0,8.0,1
LOLTMNT05_177077,1,Red,Movistar KOI,1.0,2254.0,238.0,-2.0,8.0,9.0,4.0,0
LOLTMNT05_180071,1,Blue,GiantX,1.0,180.0,729.0,23.0,5.0,13.0,4.0,0
LOLTMNT05_180071,1,Red,Karmine Corp,0.0,-180.0,-729.0,-23.0,4.0,9.0,5.0,1
LOLTMNT05_180072,1,Blue,GiantX,0.0,-4939.0,-3681.0,-53.0,2.0,6.0,8.0,0
LOLTMNT05_180072,1,Red,Karmine Corp,1.0,4939.0,3681.0,53.0,8.0,15.0,2.0,1
LOLTMNT05_179080,1,Blue,GiantX,1.0,1226.0,993.0,42.0,3.0,6.0,3.0,0
LOLTMNT05_179080,1,Red,Karmine Corp,0.0,-1226.0,-993.0,-42.0,3.0,4.0,3.0,1
LOLTMNT05_179108,1,Blue,Movistar KOI,0.0,-822.0,-243.0,-20.0,1.0,3.0,3.0,1
LOLTMNT05_179108,1,Red,Karmine Corp,1.0,822.0,243.0,20.0,3.0,6.0,1.0,0
LOLTMNT05_180085,1,Blue,Movistar KOI,0.0,-5095.0,-2837.0,-32.0,1.0,1.0,8.0,0
LOLTMNT05_180085,1,Red,Karmine Corp,1.0,5095.0,2837.0,32.0,8.0,13.0,1.0,1
LOLTMNT05_180086,1,Blue,Movistar KOI,0.0,2782.0,2392.0,4.0,8.0,13.0,6.0,1
LOLTMNT05_180086,1,Red,Karmine Corp,1.0,-2782.0,-2392.0,-4.0,6.0,6.0,8.0,0
LOLTMNT05_179109,1,Blue,Movistar KOI,0.0,161.0,-1528.0,-24.0,1.0,1.0,2.0,0
LOLTMNT05_179109,1,Red,Karmine Corp,1.0,-161.0,1528.0,24.0,2.0,2.0,1.0,1
LOLTMNT05_180087,1,Blue,Movistar KOI,0.0,-5208.0,-4203.0,-75.0,1.0,1.0,7.0,0
LOLTMNT05_180087,1,Red,Karmine Corp,1.0,5208.0,4203.0,75.0,7.0,9.0,1.0,1
LOLTMNT05_180114,1,Blue,G2 Esports,1.0,879.0,2055.0,27.0,4.0,9.0,3.0,1
LOLTMNT05_180114,1,Red,Karmine Corp,0.0,-879.0,-2055.0,-27.0,3.0,2.0,4.0,0
LOLTMNT05_180115,1,Blue,G2 Esports,0.0,246.0,976.0,-1.0,4.0,3.0,2.0,1
LOLTMNT05_180115,1,Red,Karmine Corp,1.0,-246.0,-976.0,1.0,2.0,2.0,4.0,0
LOLTMNT05_179123,1,Blue,G2 Esports,1.0,-978.0,-1111.0,-44.0,6.0,10.0,3.0,0
